episode,return,length
778,-42.9,433
779,180.8,533
780,223.0,560
781,86.9,1000
782,-107.4,495
783,-8.9,357
784,-82.8,429
785,185.6,585
786,193.6,488
787,-30.9,424
788,192.4,628
789,198.8,558
790,150.1,562
791,200.7,482
792,219.4,475
793,-69.8,394
794,63.1,1000
795,152.2,814
796,201.0,492
797,-22.1,436
798,212.2,740
799,158.7,472
800,-36.5,477
801,179.9,577
802,-33.0,372
803,-70.1,451
804,179.1,586
805,-64.6,352
806,-60.3,422
807,200.5,501
808,178.6,644
809,199.8,627
810,184.4,507
811,172.3,762
812,-102.7,432
813,194.9,526
814,-88.9,460
815,187.6,698
816,-66.8,583
817,221.6,491
818,-95.9,541
819,164.5,560
820,185.0,621
821,205.8,581
822,196.0,594
823,173.0,635
824,193.6,549
825,161.8,512
826,-121.7,455
827,152.7,728
828,178.8,534
829,142.4,569
830,-70.5,371
831,-106.1,511
832,188.3,676
833,-71.8,260
834,224.9,565
835,-148.6,603
836,167.6,585
837,-59.8,348
838,123.2,577
839,206.4,590
840,232.7,532
841,216.6,576
842,-39.9,425
843,64.3,1000
844,201.2,561
845,-79.7,392
846,201.4,531
847,229.8,556
848,239.1,547
849,214.1,546
850,-98.2,424
851,-156.0,782
852,175.7,582
853,204.3,568
854,-130.3,507
855,-97.6,477
856,118.8,807
857,203.7,566
858,-30.3,434
859,-71.0,560
860,177.9,556
861,-90.1,416
862,229.6,472
863,172.6,564
864,-142.7,445
865,188.4,625
866,-62.5,425
867,230.6,523
868,222.0,485
869,159.3,689
870,194.7,530
871,-154.8,638
872,173.6,513
873,225.3,482
874,-52.7,458
875,143.5,665
876,193.6,524
877,106.5,810
878,135.0,730
879,-57.7,539
880,198.1,578
881,207.8,505
882,206.8,756
883,195.3,549
884,123.5,836
885,-45.8,585
886,-100.6,355
887,205.6,600
888,187.0,556
889,-124.2,696
890,222.7,608
891,-16.2,1000
892,184.2,647
893,143.1,889
894,128.0,868
895,160.0,561
896,174.9,888
897,93.3,794
898,94.7,736
899,110.9,855
900,-105.7,618
901,187.2,611
902,135.6,670
903,-75.6,419
904,63.2,970
905,181.8,705
906,149.7,588
907,-91.3,526
908,185.7,619
909,192.1,491
910,163.9,615
911,205.8,587
912,208.5,507
913,193.9,531
914,62.6,1000
915,-40.6,521
916,133.0,676
917,80.0,769
918,-171.6,784
919,122.1,742
920,196.7,763
921,169.1,615
922,129.7,675
923,170.5,656
924,164.4,794
925,105.3,871
926,175.2,628
927,168.3,674
928,156.8,668
929,-95.8,551
930,148.4,673
931,171.6,650
932,223.7,704
933,145.6,732
934,193.5,621
935,118.6,758
936,151.6,614
937,191.6,703
938,204.3,537
939,-67.9,438
940,-116.9,547
941,227.5,496
942,-33.1,393
943,221.0,505
944,208.9,564
945,166.7,546
946,-67.0,423
947,91.8,723
948,84.4,668
949,181.0,646
950,-54.0,501
951,170.9,641
952,177.1,503
953,-60.5,393
954,174.4,680
955,-46.7,360
956,201.7,554
957,-69.6,333
958,195.1,564
959,165.0,456
960,-98.2,457
961,210.8,491
962,190.3,498
963,157.0,609
964,138.9,500
965,-16.0,441
966,202.1,510
967,95.6,753
968,203.6,574
969,176.4,643
970,144.5,776
971,-108.5,510
972,183.2,626
973,239.3,587
974,184.9,581
975,158.0,634
976,-151.1,713
977,165.9,569
978,-106.5,547
979,-108.0,544
980,-65.3,383
981,-26.4,548
982,92.1,812
983,134.5,644
984,-83.3,456
985,173.8,664
986,204.8,635
987,144.9,637
988,-154.2,510
989,-105.0,536
